page_group_name,post_url,comments,type,shares,love,wow,haha,sad,angry,likes,post_message,lex_found
အမေစုကို ချစ်ကြသူများသာ (သီးသန့်),https://www.facebook.com/groups/131667613924620/permalink/1193795601045144,1810,Native Video,331,390,252,0,1,0,0,# ဂုဏ်ယူ လေးစား မြန်မာ ပြည် သား မိုး ထဲ ရေ ထဲ မှာ စင်္ကာ ပူ ရောက် မြန်မာနိုင်ငံ သား တွေ ကြိုတင် မဲပေး နေ ကြ ပါ ပြီ VideoCredittooriginaluploaderBy ဪ ခေတ် သနပ်ပင်,
မြောက်ဦးဆရာတော် အရှင်ဝါယာမိန္ဒ ကိုကြည်ညိုကြမည့်သူငယ်ချင်းဓမ္မမိတ်ဆွေများ,https://www.facebook.com/groups/167416020699286/permalink/802878877152994,319,Video,2,190,1,0,0,0,0,#** 📢 📢 🙏 မဟာ သရဏဂုံ တော် ကြီး 🙏 📢 📢 **** အကျိုးပေး ကောင်း သော လယ်တီ ဆရာတော် ဘုရား ကြီး ရဲ့ **** မဟာ သရဏဂုံ တော် ကြီး ပါ ။ နေ့စဉ် ဖွင့် ၍ နာယူ ကြ ပါ ကုန် ။ **,
💖နိုင်ငံတော်အတိုင်ပင်ခံပုဂ္ဂိုလ် ဒေါ်အောင်ဆန်းစုကြည်၏ မျိုးဆက်သစ်များ💖,https://www.facebook.com/groups/690887914347608/permalink/2925734230862954,1190,Photo,114,410,34,0,0,0,0,,
ဥက္ကံ ချစ်သူများ အဖွဲ့,https://www.facebook.com/groups/747849068621992/permalink/4507991335941061,1007,Link,58,61,26,0,3,0,0,,
💖နိုင်ငံတော်အတိုင်ပင်ခံပုဂ္ဂိုလ် ဒေါ်အောင်ဆန်းစုကြည်၏ မျိုးဆက်သစ်များ💖,https://www.facebook.com/groups/690887914347608/permalink/2927841090652268,953,Status,88,302,6,3,67,0,1,ဦး တပ်မ ခေါ် ထိုက် တဲ့ ခင် ရီ ကို တည့် တည့် မေး မယ် လူ ၂ သိန်း ကျော် သေ မယ့် နာ ဂစ် နဲ့ ၂၀၀၈ ခြေ ဥ ဘယ် ဟာ အရေးကြီး သလဲ ? 👌 Zzoo,
Lashio News,https://www.facebook.com/groups/376940012432714/permalink/3207566012703419,1272,Photo,169,104,196,0,0,0,0,မိုးဖွဲ လေး တွေ ကြား ထဲ .... ရန် ကုန် ကို ရှမ်း / မြောက် သား တို့ ချီ လာ ပြီ ...... ယနေ့ ( ၁ . ၁၀ . ၂၀၂၀ ) ရှမ်း / မြောက် တစ် လွား မှ ဆရာ / ဆရာမ နှင့် သူနာပြု ( ၂၀ ) ဦး တို့သည် ပြည်နယ် ကျန်းမာရေး ဦးစီးဌာန အစီအစဉ် ဖြင့် ရန် ကုန် မြို့ ကြီး သို့ ယနေ့ ညနေ ( ၆ ) နာရီ ခန့် အချိန် တွင် လား ရှို မြို့ မှ ထွက်ခွာ ခဲ့ ကြ ရာ မြို့ ပေါ် မှ ပရဟိတ အသင်းအဖွဲ့ များ မှ ဂုဏ်ပြု ပို့ဆောင် နှုတ်ဆက် ခဲ့ ကြ ပါသည် .... မြို့ခံ များ မှ လည်း နဲ / များ မဆို အ လှု ငွေ နှင့် အသုံးအဆောင် ပစ္စည်း များ အား ချက် ခြင်း ပေးပို့ ခဲ့ ကြ ပြီး စိတ် ဓါတ် အင်အား များ ပေး ခဲ့ ကြ ကြောင်း သတင်းရ ရှိ ပါသည် ..... သန့် ဇင် လှိုင် ......,
အမေစုကို ချစ်ကြသူများသာ (သီးသန့်),https://www.facebook.com/groups/131667613924620/permalink/1195543180870386,3160,Photo,520,455,438,3,0,2,0,ယနေ့ ကို ရီး ယား ရောက် မြန်မာ တွေ ကြိုတင် မဲ ဒုတိယ နေ့ အိပ် စောင့် နေ ပြီးတော့ ကို မဲပေး တာ ဗျာ ဒီလို နိုင်ငံသား မျိုး တွေ ကမ္ဘာ ပေါ် က ဘယ် နိုင်ငံ မှာ တွေ့ ဖူး လဲ အဲ့ ဒါ အမေ ဒေါ် အောင် ဆန်း စု ကြည် နိုင်ငံ ရဲ့ ပြည် သူ တွေ ကွ Photocredit ရဲ သွေး နည်,
အမေစုကို ချစ်ကြသူများသာ (သီးသန့်),https://www.facebook.com/groups/131667613924620/permalink/1193950607696310,3692,Photo,391,823,125,0,3,0,0,,
တောင်ကြီး မီဒီယာများ စုစည်းရာ,https://www.facebook.com/groups/171818746314921/permalink/1711177482379032,1516,Photo,125,157,105,2,1,1,0,PPE ဝတ်စုံ မ ဝတ် နဲ့ အုံး ဗျ ကျွတ်ကျွတ် အိတ် ခေါင်း ခဏ လောက် စွပ် ထား ကြည့်ပါ လား ပိုးသတ်ဆေး ပုံး မလွယ် နဲ့ အုံး ဗျ ကျောပိုးအိတ် အလွတ် လေး တရက် လွယ် ထား ပေး ပါ လား ရောဂါသည် တွေ ကို မ ပြုစု နဲ့ အုံး ဗျ သူတို့ ကို ထား တဲ့ အခန်း ရှေ့ မှာ တရက် လောက် တာဝန် ယူ ပြီး စောင့် ကြည့် ပေး ပါ လား သင့် မှာ မိသားစု ရှိ နေ သလို ကျန်းမာရေး ဝန်ထမ်း တွေ က မိ မဲ့ ဖ မဲ့ အိုး မဲ့ အိမ် မဲ့ တွေ မဟုတ် ဘူး ဗျ သူတို့ ကို စိုးရိမ် ပူပန် နေ ရှာ တဲ့ မိဘ မောင်နှမ ဆွေမျိုးသားချင်း သားသမီး တွေ ရှိ သလို သူတို့ ကို မှီခို အားကိုး နေ ရှာ တဲ့ မိဘ မောင်နှမ ဆွေမျိုးသားချင်း သားသမီး တွေ ရှိ တယ် လူ လို သိ့ ပါ လူ လို နားလည် ပါ မ ကူညီ ချင် ရင် နေ ပါ မ နှောက် ယှက် ပါ နဲ့ သင့် အိမ့် အပြင် မ ထွက် ရ လို့ မ သေ ပါ ဘူး သင့် ရောဂါဖြစ် လို့ ကုသ ပေး ရင်းး နဲ့ နိုင်ငံ ကျန်းမာရေး ဝန်ထမ်း ကောင်း တွေ ကြွေ လွင့် သွား နိုင် ပါ တယ် ဗျာ * အနင်းခံ မြေ ဇာ ပင် မြက် ကလေး *,
💖အမေ့သားသမီးများသီးသန့်💖,https://www.facebook.com/groups/1250425025055426/permalink/3422225331208707,890,Photo,112,74,82,3,1,0,0,,
💖နိုင်ငံတော်အတိုင်ပင်ခံပုဂ္ဂိုလ် ဒေါ်အောင်ဆန်းစုကြည်၏ မျိုးဆက်သစ်များ💖,https://www.facebook.com/groups/690887914347608/permalink/2925828180853559,1156,Photo,233,169,153,0,0,4,0,,
ဝေဖန်ကြရအောင်,https://www.facebook.com/groups/202718583408461/permalink/1291514471195528,488,Link,1,20,7,15,42,4,1,PrayforChina 🇨 🇳 🤣,
မုံရွာ သတင်းနဲ့ သတင်းစုံ,https://www.facebook.com/groups/216534892027765/permalink/1385988481749061,1199,Link,29,129,1,17,3,4,2,လူကြီး မင်း တွေ ကြို တွေး သင့် တယ် အခု တော့ ဖြစ်လာ ပြီ ရှေ့ဆက် ဘယ်လို ထိန်း မ လဲ,
နောင်​ချို မီဒီယာGroup,https://www.facebook.com/groups/1782051322104997/permalink/2691402071169913,1887,Photo,81,130,57,0,0,0,0,ဘန့် ဘွေး တိုး ဂိတ် မှာ Covic19 ရှိ မရှိ စစ်ဆေး ရန် တန်းစီ စောင့် ဆိုင်း နေ သော ယာဥ် မောင်း နှင့် ယာဥ် နောက်လိုက် များ အတွက် နောင် ချို မှ စေတနာရှင် များ လာရောက် လှူဒါန်း ပေး နေ တာ ဖြစ်ပါတယ် ။ မနက်စာ ကို တော့ Regency စက် သုံး ဆီ ရောင်းဝယ် ရေး မှ လာရောက် လှူဒါန်း သွား ပါ တယ် ။ လှူဒါန်း သူများ အား ဝမ်းမြောက် ဝမ်းသာ မှတ်တမ်းတင် ဖော်ပြ လိုက် ရ ပါ တယ် ခင် ဗျ,
ထူးထူးခြားခြားသတင်းအစုံ,https://www.facebook.com/groups/1674070092830889/permalink/2729777797260108,947,Photo,214,170,9,6,4,0,0,,
💖နိုင်ငံတော်အတိုင်ပင်ခံပုဂ္ဂိုလ် ဒေါ်အောင်ဆန်းစုကြည်၏ မျိုးဆက်သစ်များ💖,https://www.facebook.com/groups/690887914347608/permalink/2928164920619885,1212,Photo,141,178,155,0,0,1,0,ယနေ့ ဂျပန် ထမင်းစား ချိန် နား အလှူရှင် များ နှင့် စည်းလုံး ပျော် ရွှင် စွာ,
တိုက်​ပွဲဝင်​ခွပ်ဒေါင်း(​သွေးနီတဲ့အ​မေစုသား/သမီး များသာ),https://www.facebook.com/groups/397077023968326/permalink/1379719469037405,880,Photo,56,50,92,0,0,0,1,,
အမေစုကို ချစ်ကြသူများသာ (သီးသန့်),https://www.facebook.com/groups/131667613924620/permalink/1193806757710695,5916,Status,418,1035,204,0,2,1,2,ဒီ တစ်ခါ ကို ဆွေ ဝင်း ရဲ့ လုပ်ရပ် က တိုင်းပြည် ကို တရုတ် နိုင်ငံ ရောင်းစား ခံ ရ မယ့် အဖြစ်ဆိုး က နေ ကယ် ထုတ် လိုက် တာ ပါ ပဲ ဒါ မှ အမျိုး ဘာသာ တကယ် ချစ် တဲ့ သူ,
